Interesting features of the instances:
p    = number of subgraphs
n    = number of vertices
m    = number of edges
LB   = value of the combinatorial lower bound
BK   = value of the upper bound (best known result obtained in the whole experimental campaign)
ALNS = value obtained by the best parameter tuning of the ALNS algorithm
mTS  = value obtained by the best parameter tuning of the mTS algorithm

Instance        p      n         m     LB      BK    ALNS     mTS
n100plap1i1     5    100       570     78      98      98      98
n100plap1i2     5    100       562     80      99      99      99
n100plap1i3     5    100       556     82      99      99      99
n100plap1i4     5    100       560     80      98      98      98
n100plap1i5     5    100       568     84      98      98      98
n100plap2i1    10    100       570     65     103     103     104
n100plap2i2    10    100       562     68     109     109     109
n100plap2i3    10    100       556     70     108     108     110
n100plap2i4    10    100       560     67     102     102     102
n100plap2i5    10    100       568     73     107     107     108
n100plap3i1    22    100       570     44     152     152     159
n100plap3i2    22    100       562     49     156     156     163
n100plap3i3    22    100       556     47     162     162     179
n100plap3i4    22    100       560     44     147     152     156
n100plap3i5    22    100       568     53     166     166     171
n100d03p1i1     5    100      3300     82      82      82      82
n100d03p1i2     5    100      3300     82      82      82      82
n100d03p1i3     5    100      3300     81      85      88      85
n100d03p1i4     5    100      3300     83      83      83      83
n100d03p1i5     5    100      3300     84      84      87      84
n100d03p2i1    10    100      3300     67      70      70      71
n100d03p2i2    10    100      3300     67      69      69      69
n100d03p2i3    10    100      3300     70      76      76      77
n100d03p2i4    10    100      3300     68      68      68      68
n100d03p2i5    10    100      3300     72      75      75      76
n100d03p3i1    22    100      3300     45      65      65      66
n100d03p3i2    22    100      3300     48      64      64      64
n100d03p3i3    22    100      3300     47      69      69      69
n100d03p3i4    22    100      3300     42      57      57      57
n100d03p3i5    22    100      3300     50      66      66      66
n100d06p1i1     5    100      6600     85      85      85      85
n100d06p1i2     5    100      6600     79      81      81      81
n100d06p1i3     5    100      6600     84      84      84      84
n100d06p1i4     5    100      6600     82      82      83      82
n100d06p1i5     5    100      6600     82      82      83      82
n100d06p2i1    10    100      6600     71      72      72      72
n100d06p2i2    10    100      6600     65      69      69      69
n100d06p2i3    10    100      6600     73      73      73      73
n100d06p2i4    10    100      6600     69      70      70      70
n100d06p2i5    10    100      6600     67      68      68      68
n100d06p3i1    22    100      6600     47      51      51      51
n100d06p3i2    22    100      6600     44      53      53      53
n100d06p3i3    22    100      6600     49      53      53      53
n100d06p3i4    22    100      6600     46      50      50      50
n100d06p3i5    22    100      6600     42      49      49      49
n200plap1i1     5    200      1154    176     197     197     197
n200plap1i2     5    200      1144    176     196     196     196
n200plap1i3     5    200      1156    175     198     198     198
n200plap1i4     5    200      1140    178     197     197     197
n200plap1i5     5    200      1156    181     201     201     201
n200plap2i1    14    200      1154    148     209     209     213
n200plap2i2    14    200      1144    145     216     216     217
n200plap2i3    14    200      1156    145     210     210     218
